Country,Location,Ebola measure,Case definition,Ebola data source,Epi week,Indicator type,Data package ID,Data as of,Outbreak identifier,Cases,Time
Sierra Leone,MOYAMBA,Number of cases,Confirmed,Situation report,08 to 14 September 2014 (2014-W37),New,Data package 2015-12-16,,,,2014-W37
Sierra Leone,WESTERN AREA RURAL,Number of cases,Probable,Patient database,22 to 28 December 2014 (2014-W52),New,Data package 2015-12-16,,,12,2014-W52
Sierra Leone,BONTHE,Number of cases,Confirmed,Patient database,17 to 23 August 2015 (2015-W34),New,Data package 2015-12-16,,,0,2015-W34
Sierra Leone,,Number of cases,Probable,Situation report,13 to 19 January 2014 (2014-W03),New,Data package 2015-12-16,,,,2014-W03
Sierra Leone,WESTERN AREA URBAN,Number of cases,Confirmed,Situation report,30 November to 06 December 2015 (2015-W49),New,Data package 2015-12-16,,,0,2015-W49
Sierra Leone,,Number of cases,Probable,,,In past 21 days,Data package 2015-12-16,07-Nov-15,EVD West Africa 2014,,
Sierra Leone,,Number of cases,Confirmed,Situation report,20 to 26 July 2015 (2015-W30),New,Data package 2015-12-16,,,3,2015-W30
Sierra Leone,BONTHE,Number of cases,Probable,Patient database,10 to 16 February 2014 (2014-W07),New,Data package 2015-12-16,,,,2014-W07
Sierra Leone,TONKOLILI,Number of cases,Probable,Patient database,23 to 29 June 2014 (2014-W26),New,Data package 2015-12-16,,,0,2014-W26
Sierra Leone,KOINADUGU,Number of cases,Probable,Situation report,23 to 29 November 2015 (2015-W48),New,Data package 2015-12-16,,,0,2015-W48
Sierra Leone,KAMBIA,Number of cases,Confirmed,Situation report,31 August to 06 September 2015 (2015-W36),New,Data package 2015-12-16,,,1,2015-W36
Sierra Leone,MOYAMBA,Number of cases,Probable,Situation report,25 to 31 August 2014 (2014-W35),New,Data package 2015-12-16,,,,2014-W35
Sierra Leone,WESTERN AREA RURAL,Number of cases,Confirmed,Patient database,05 to 11 January 2015 (2015-W02),New,Data package 2015-12-16,,,48,2015-W02
Sierra Leone,BOMBALI,Number of cases,Probable,Patient database,02 to 08 February 2015 (2015-W06),New,Data package 2015-12-16,,,0,2015-W06
Sierra Leone,BO,Number of cases,Confirmed,Patient database,09 to 15 June 2014 (2014-W24),New,Data package 2015-12-16,,,0,2014-W24
Sierra Leone,WESTERN AREA URBAN,Number of cases,Probable,Situation report,16 to 22 November 2015 (2015-W47),New,Data package 2015-12-16,,,0,2015-W47
Sierra Leone,PUJEHUN,Number of cases,Probable,Situation report,01 to 07 December 2014 (2014-W49),New,Data package 2015-12-16,,,0,2014-W49
Sierra Leone,BOMBALI,Number of cases,Confirmed,Patient database,16 to 22 February 2015 (2015-W08),New,Data package 2015-12-16,,,22,2015-W08
Sierra Leone,PORT LOKO,Number of cases,Confirmed,Situation report,01 to 07 June 2015 (2015-W23),New,Data package 2015-12-16,,,10,2015-W23
Sierra Leone,KAMBIA,Number of cases,Confirmed,Situation report,10 to 16 March 2014 (2014-W11),New,Data package 2015-12-16,,,,2014-W11
Sierra Leone,MOYAMBA,Number of cases,Probable,Patient database,09 to 15 November 2015 (2015-W46),New,Data package 2015-12-16,,,,2015-W46
Sierra Leone,BONTHE,Number of cases,Probable,Situation report,22 to 28 September 2014 (2014-W39),New,Data package 2015-12-16,,,0,2014-W39
Sierra Leone,,Number of cases,Confirmed,Patient database,08 to 14 December 2014 (2014-W50),New,Data package 2015-12-16,,,397,2014-W50
Sierra Leone,PORT LOKO,Number of cases,Probable,Situation report,18 to 24 May 2015 (2015-W21),New,Data package 2015-12-16,,,0,2015-W21
Sierra Leone,KAMBIA,Number of cases,Probable,Situation report,24 February to 02 March 2014 (2014-W09),New,Data package 2015-12-16,,,,2014-W09
Sierra Leone,TONKOLILI,Number of cases,Confirmed,Situation report,04 to 10 May 2015 (2015-W19),New,Data package 2015-12-16,,,0,2015-W19
Sierra Leone,KONO,Number of cases,Probable,Patient database,17 to 23 February 2014 (2014-W08),New,Data package 2015-12-16,,,,2014-W08
Sierra Leone,KENEMA,Number of cases,Confirmed,Situation report,14 to 20 April 2014 (2014-W16),New,Data package 2015-12-16,,,,2014-W16
Sierra Leone,BONTHE,Number of cases,Confirmed,Situation report,22 to 28 December 2014 (2014-W52),New,Data package 2015-12-16,,,0,2014-W52
Sierra Leone,KOINADUGU,Number of cases,Confirmed,Situation report,23 February to 01 March 2015 (2015-W09),New,Data package 2015-12-16,,,1,2015-W09
Sierra Leone,KONO,Number of cases,Confirmed,Patient database,01 to 07 June 2015 (2015-W23),New,Data package 2015-12-16,,,0,2015-W23
Sierra Leone,KOINADUGU,Number of cases,Probable,Situation report,15 to 21 June 2015 (2015-W25),New,Data package 2015-12-16,,,0,2015-W25
Sierra Leone,TONKOLILI,Number of cases,Probable,Situation report,20 to 26 January 2014 (2014-W04),New,Data package 2015-12-16,,,,2014-W04
Sierra Leone,KAILAHUN,Number of cases,Probable,Patient database,30 June to 06 July 2014 (2014-W27),New,Data package 2015-12-16,,,4,2014-W27
Sierra Leone,KOINADUGU,Number of cases,Confirmed,Situation report,07 to 13 December 2015 (2015-W50),New,Data package 2015-12-16,,,0,2015-W50
Sierra Leone,TONKOLILI,Number of cases,Confirmed,Situation report,13 to 19 October 2014 (2014-W42),New,Data package 2015-12-16,,,21,2014-W42
Sierra Leone,WESTERN AREA RURAL,Number of cases,Confirmed,Situation report,02 to 08 November 2015 (2015-W45),New,Data package 2015-12-16,,,0,2015-W45
Sierra Leone,BONTHE,Number of cases,Probable,Patient database,03 to 09 August 2015 (2015-W32),New,Data package 2015-12-16,,,0,2015-W32
Sierra Leone,WESTERN AREA URBAN,Number of cases,Probable,Patient database,06 to 12 January 2014 (2014-W02),New,Data package 2015-12-16,,,,2014-W02
Sierra Leone,,Number of cases,Confirmed,Situation report,27 January to 02 February 2014 (2014-W05),New,Data package 2015-12-16,,,,2014-W05
Sierra Leone,TONKOLILI,Number of cases,Confirmed,Patient database,07 to 13 July 2014 (2014-W28),New,Data package 2015-12-16,,,0,2014-W28
