Kailahun,Kenema,Kono,Bombali,Kambia,Koinadugu,Port Loko,Tonkolili,Bo,Bonthe,Moyamba,Pujehun,Western Rural,Western Urban
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,1,0,0,1,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,1,1,1,1,0,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,1,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0,0,1,0,1,1
0,1,1,1,0,1,1,1,1,0,1,0,0,0
0,1,0,0,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,1,1,1,1,1,0,1,0
0,1,0,0,0,0,0,0,1,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,0,0,1,1
