Country,District,Subdivision,Capital,Area,Population
Sierra Leone,Kailahun,Eastern,Kailahun,3859,358190
Sierra Leone,Kenema,Eastern,Kenema,6053,497948
Sierra Leone,Kono,Eastern,Sefadu,5641,335401
Sierra Leone,Bombali,Northern,Makeni,7895,408390
Sierra Leone,Kambia,Northern,Kambia,3108,270462
Sierra Leone,Koinadugu,Northern,Kabala,12121,265758
Sierra Leone,PortLoko,Northern,PortLoko,5719,453746
Sierra Leone,Tonkolili,Northern,Magburaka,7003,347197
Sierra Leone,Bo,Southern,Bo,5219,463668
Sierra Leone,Bonthe,Southern,Babu,3468,139687
Sierra Leone,Moyamba,Southern,Moyamba,6902,260910
Sierra Leone,Pujehun,Southern,Pujehun,4105,228392
Sierra Leone,WesternAreaRural,Western,Waterloo,544,174249
Sierra Leone,WesternAreaUrban,Western,Freetown,13,772873
Guinea,Boke,,Boke,31186,1081445
Guinea,Conakry,,Conakry,450,1667864
Guinea,Faranah,,Faranah,35581,942733
Guinea,Kankan,,Kankan,72145,1986329
Guinea,Kindia,,Kindia,28873,1559185
Guinea,Labe,,Labe,22869,995717
Guinea,Mamou,,Mamou,17074,732117
Guinea,N'Zerekore,,N'Zerekore,37658,1663582
Liberia, Bomi,,Tubmanburg,1932,84119
Liberia, Bong,,Gbarnga,8754,333481
Liberia, Gbarpolu,,Bopulu,9953,83388
Liberia, Grand Bassa,,Buchanan,7814,221693
Liberia, Grand Cape Mount,,Robertsport,4781,127076
Liberia, Grand Gedeh,,Zwedru,10855,125258
Liberia, Grand Kru,,Barclayville,3895,57913
Liberia, Lofa,,Voinjama,9982,276863
Liberia, Margibi,,Kakata,2691,209923
Liberia, Maryland,,Harper,2297,135938
Liberia, Montserrado,,Bensonville,1880,1118241
Liberia, Nimba,,Sanniquellie,11551,462026
Liberia, Rivercess,,Rivercess,5564,71509
Liberia, River Gee,,Fish Town,5113,66789
Liberia, Sinoe,,Greenville,9764,102391
